,Tweet_ID,Tweet_Text,Time_Of_Tweet,Tweet_Location,User_Native,Country,Language,Category,Sub_Category,Latitude,Longitude,Nearest_Assembly_Cord,Nearest_Assembly_Name
331,331,Situation of Bangalore railway station. Inviting one more accidents on plate form no 10.  @RailMinIndia https://t.co/uSKAGOL357,10/16/2017 4:45,Bengaluru,"Chittorgarh , India",India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
2361,2361,@thekjgeorge @blrcitytraffic The very fact that we reached this state and you irresponsibly reacting to accidents i… https://t.co/5smVthcnwv,10/16/2017 9:10,Bengaluru South,"Bengaluru, Karnataka, India",India,en,Crime,Accident,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
4092,4092,it's like seeing an accident on the road and just walking away... #HarveyWeinstein https://t.co/JDcMZMjDVc,10/16/2017 15:41,Bengaluru,b'luru s. india via dubai/TOR,India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
4129,4129,"@ZeeNews Actually She was to run after accident, to escape from that she created a new story..police confirmed that",10/16/2017 15:46,Bengaluru,UAE,India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
4327,4327,"Unfortunate accident Bangalore. Gas cylinder blast ""causes"" building collapse, kills 7, many injured. Morning",10/16/2017 16:11,Bengaluru,"Bangalore, India",India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
4651,4651,J&amp;K: 5 members of a family died in a road accident in #Doda district after their car skidded off the road &amp; fell into a gorge.,10/16/2017 16:54,Bengaluru,BENGALURU,India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
13561,13560,@BBMPCOMM1 due to the potholes and poor lighting at night accidents been taking place . EPIP layout opp to Airtel o… https://t.co/n3lXD47Vi8,10/24/2017 8:44,Bengaluru South,India,India,en,Crime,Accident,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
13715,13714,"@GandharvaRani Taking accident victims to hospital is one thing I do always.
I can keep posting several such incide… https://t.co/kIl6Ab4zBo",10/24/2017 9:01,Bengaluru,"Bangalore, India",India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
18213,18212,"A car accident in #Jharkhand's Nimiaghat killed Myanmar Consul General Pyi Soe, injuring his wife and two others https://t.co/4H04DaBo6D",10/27/2017 10:38,Bengaluru,BENGALURU,India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
18507,18506,"Soe (49) was returning to Kolkata from Gaya in Bihar when the accident took place on GT Road, near Galagi
https://t.co/Ozk9iwSyN4",10/27/2017 11:27,Bengaluru,India,India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
20218,20217,@rsprasad @narendramodi  Need of the hour to Nforce law tt people making videos or photos  in an accidental scene &amp;sharing shud b arrested,10/27/2017 16:06,Bengaluru,,India,en,Crime,Accident,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
737,737,10+ ppl died in Bangalore due to potholes but not a single tweet by @JhaSanjay . This shows his sell out to Cong. Shame on such sellout ppl.,10/16/2017 5:41,India,,India,en,Crime,Pothole,6.62251,67.9976,"12.9242,  77.5191",Rajarajeswari Nagar
1614,1614,"@BBMPCOMM1  Sir,Deadly Road conditions for two wheelers. SH 35 between Sompura and Domsandra. Huge potholes,unfinished devider construction.",10/16/2017 7:36,Anekal Bangaluru,,India,en,Crime,Pothole,12.657055,77.556362,"12.8984,  77.6179",Bommana Halli
1910,1910,@TOIBengaluru As if pothole deaths wr not enough,10/16/2017 8:13,Bengaluru,,India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
2342,2342,"No money for filling potholes,CM Karnataka spending 26CRS for unnecessary celebrations,Time to stop these exchequers money @AnanthKumar_BJP",10/16/2017 9:08,Bengaluru South,Bangalore,India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
2572,2572,AAP ACE champions registered complaint with BBMP about potholes in their area. They are working local people and BB… https://t.co/pofj6oJnsi,10/16/2017 9:44,Bengaluru,"Bengaluru, India",India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
3719,3719,Never been to Rohtang Pass? Come #Bengaluru roads are similar! #DontLiveDefault #potholes #mudroads #madeinIndia,10/16/2017 14:48,Bengaluru,Bangaluru,India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
7088,7088,Potholes in our cities have become as permanent as roads. If roads can be named after netas why  cannot potholes be named after them.🤣🤣,10/17/2017 16:16,Bengaluru,"Bengaluru South, India",India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
9642,9642,Gold biscuit bonanza for Karnataka MLAs while 5 people die in 9 days due to pothole ridden roads of Karnataka#RahulModelFails in full action,10/18/2017 16:31,Bengaluru South,"Marattahalli, Bengaluru South",India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
10685,10685,Some contractor has faced heavy losses filling all those potholes on convent road. #BangaloreStories,10/18/2017 18:45,Bengaluru South,Bangalore,India,en,Crime,Pothole,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
13554,13553,"Can see some potholes being filled in #Bengaluru. But I get the feeling these are the unimportant ones, not-so-big ones, on the sides",10/24/2017 8:43,Bengaluru,Bangalore-Manipal-Gurgaon,India,en,Crime,Pothole,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
